"","ID","Gender","Certificate","Q27_1","Q27_2","Q27_3","Q27_4","Q27_5","Q27_6","Q27_7","Q27_8","Q27_9","Q27_10","Q27_11","Q27_12","Q27_13","Q27_14","Q27_15"
"372","4730","Female","American Diploma","4","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","4","4","1: Not at all true","1: Not at all true","3: Somewhat true","3: Somewhat true","4","4","5: Very true"
"373","4725","Female","American Diploma","5: Very true","5: Very true","4","5: Very true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","1: Not at all true","4","1: Not at all true","5: Very true"
"374","4720","Female","American Diploma","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","2","1: Not at all true","3: Somewhat true","1: Not at all true","1: Not at all true","4","3: Somewhat true","5: Very true","3: Somewhat true","5: Very true"
"375","4728","Female","American Diploma","5: Very true","4","5: Very true","5: Very true","4","3: Somewhat true","3: Somewhat true","3: Somewhat true","1: Not at all true","2","4","3: Somewhat true","3: Somewhat true","2","4"
"376","4606","Female","American Diploma","4","3: Somewhat true","5: Very true","5: Very true","5: Very true","4","4","4","4","4","5: Very true","5: Very true","5: Very true","5: Very true","4"
"377","4733","Female","American Diploma","3: Somewhat true","3: Somewhat true","4","5: Very true","4","1: Not at all true","1: Not at all true","3: Somewhat true","1: Not at all true","1: Not at all true","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true"
"378","4731","Female","American Diploma","5: Very true","5: Very true","5: Very true","3: Somewhat true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","5: Very true"
"379","4727","Female","IB","5: Very true","5: Very true","4","5: Very true","5: Very true","4","4","4","4","5: Very true","5: Very true","4","4","4","5: Very true"
"380","4729","Female","American Diploma","3: Somewhat true","3: Somewhat true","4","5: Very true","5: Very true","2","2","1: Not at all true","1: Not at all true","2","5: Very true","1: Not at all true","4","5: Very true","5: Very true"
"381","4722","Female","IB","5: Very true","5: Very true","5: Very true","1: Not at all true","5: Very true","4","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","4","5: Very true","3: Somewhat true","5: Very true"
"382","4753","Male","American Diploma","5: Very true","4","5: Very true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","4","5: Very true","4","5: Very true","4","4"
"383","4604","Male","American Diploma","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","5: Very true","5: Very true","5: Very true","3: Somewhat true"
"384","4737","Male","American Diploma","4","3: Somewhat true","5: Very true","3: Somewhat true","4","3: Somewhat true","3: Somewhat true","1: Not at all true","3: Somewhat true","2","4","3: Somewhat true","2","3: Somewhat true","4"
"385","4746","Male","American Diploma","5: Very true","3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","5: Very true","5: Very true","3: Somewhat true","5: Very true","3: Somewhat true"
"386","4763","Male","American Diploma","4","4","3: Somewhat true","5: Very true","3: Somewhat true","4","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true"
"387","4759","Male","American Diploma","5: Very true","5: Very true","5: Very true","5: Very true","4","3: Somewhat true","3: Somewhat true","4","2","3: Somewhat true","4","3: Somewhat true","3: Somewhat true","4","4"
"388","4766","Male","American Diploma","5: Very true","4","4","5: Very true","4","4","2","3: Somewhat true","1: Not at all true","2","4","2","3: Somewhat true","2","4"
