"ID","Gender","Certificate","Age","Age_squared","Age-cubed","PostScore","PreScore","SS_ACC","FM_ACC","CB_ACC (2)","SE_P","PAV","PAp","MG_P","SE_S","TV","MG_S","FM_EFF_Z","SS_EFF_Z","CB_EFF_Z","Avg_EF","Avg-SALES","Avg_PG","Avg_RTc","Avg_EFF","Avg_ACC","FM_RTc_mean","CB_RTc_mean"
4288,"Male","American Diploma",14.83,219.9289,3261.545587,14.0,13.0,89.81,98.44,71.88,0.31,0.0,-0.38,0.05,0.36,0.46,0.19,0.47,0.24,1.06,0.59,0.34,-0.19,0.85,137.19,0.9,1.19,7.38
4327,"Male","IGCSE (British)",15.2,231.04,3511.8079999999995,15.0,13.0,91.67,93.75,66.67,0.48,0.45,0.57,0.34,0.1,0.32,0.48,0.74,1.33,0.89,0.99,0.3,0.51,0.6,183.43,0.92,1.06,7.13
4390,"Male","IGCSE (British)",13.6,184.95999999999998,2515.4559999999997,14.0,11.0,89.81,89.84,60.71,0.33,-0.13,-0.54,0.12,-0.46,0.03,-0.25,0.75,1.7,0.66,1.04,-0.22,-0.34,0.54,199.98,0.9,1.01,6.87
4394,"Female","IGCSE (British)",13.61,185.23209999999997,2521.0088809999997,13.0,13.0,81.48,94.53,66.67,1.19,0.32,0.21,1.03,1.1,1.04,1.24,0.61,1.66,-0.13,0.71,1.13,0.27,0.49,217.94,0.81,1.11,9.45
4435,"Female","IB",15.15,229.5225,3477.265875,14.0,13.0,81.48,94.53,71.88,-0.94,-0.49,-0.3,-0.81,-1.16,-0.25,-1.05,-0.1,-0.17,0.45,0.06,-0.82,-0.39,0.93,131.28,0.81,1.36,8.59
4450,"Female","American Diploma",14.6,213.16,3112.136,12.5,13.0,93.52,99.22,62.5,-0.2,0.18,0.13,-0.3,-0.49,-1.05,-0.56,0.77,0.14,0.31,0.41,-0.7,0.15,0.93,126.01,0.94,1.12,7.77
4452,"Female","IB",14.92,222.6064,3321.287488,15.0,11.0,100.0,96.09,56.25,0.99,-0.97,-0.57,0.61,-1.39,-0.72,-1.28,-0.78,-1.49,-0.7,-0.99,-1.13,-0.77,3.18,29.56,1.0,1.76,9.74
4564,"Male","IGCSE (British)",13.09,171.3481,2242.946629,15.0,13.0,92.59,99.22,81.25,0.58,-0.53,0.22,0.13,0.06,0.26,0.66,0.63,0.59,-1.02,0.07,0.32,-0.15,0.77,151.89,0.93,1.16,16.06
4592,"Male","Other?",12.5,156.25,1953.125,13.0,11.0,92.45,89.06,56.25,0.79,1.16,0.62,0.58,0.04,1.1,0.71,-0.42,0.44,-0.69,-0.22,0.62,0.89,0.81,118.55,0.92,1.42,9.71
4830,"Male","IB",13.05,170.3025,2222.4476250000002,14.5,13.0,88.89,98.44,68.75,-1.6,-0.53,0.41,-1.76,-0.94,0.35,-0.35,-0.43,-0.25,0.48,-0.07,-0.31,-0.06,1.05,111.1,0.89,1.58,8.16
