"","ID","Gender","Q01","Q02","Q03","Q04","Q05","Q06","Q07","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","score","Q01_imp","Q02_imp","Q03_imp","Q04_imp","Q05_imp","Q06_imp","Q07_imp","Q08_imp","Q09_imp","Q10_imp","Q11_imp","Q12_imp","Q13_imp","Q14_imp","Q15_imp","Q16_imp","Q17_imp","Q18_imp","Q19_imp"
"120","4385","Male",4,3,4,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,202,4,3,4,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3
"121","4384","Female",5,5,5,5,5,3,2,2,1,1,3,2,3,1,5,5,5,5,5,189,5,5,5,5,5,3,2,2,1,1,3,2,3,1,5,5,5,5,5
"122","4392","Female",4,5,5,5,5,5,4,4,3,3,4,1,5,4,4,4,5,5,4,201,4,5,5,5,5,5,4,4,3,3,4,1,5,4,4,4,5,5,4
"123","4380","Female",4,5,4,5,5,4,4,3,3,3,4,1,5,5,5,5,5,5,5,203,4,5,4,5,5,4,4,3,3,3,4,1,5,5,5,5,5,5,5
"124","4386","Male",5,5,5,5,5,3,2,1,1,1,2,2,1,1,4,3,5,5,5,185,5,5,5,5,5,3,2,1,1,1,2,2,1,1,4,3,5,5,5
"125","4394","Female",5,5,5,5,5,3,4,3,2,2,4,3,5,3,5,5,5,5,5,204,5,5,5,5,5,3,4,3,2,2,4,3,5,3,5,5,5,5,5
"126","4383","Male",5,5,5,5,5,1,5,1,3,3,1,1,1,3,3,2,5,5,5,190,5,5,5,5,5,1,5,1,3,3,1,1,1,3,3,2,5,5,5
"127","4382","Female",5,4,3,5,4,5,5,4,2,4,4,5,2,5,2,3,5,5,3,202,5,4,3,5,4,5,5,4,2,4,4,5,2,5,2,3,5,5,3
"128","4379","Female",4,3,4,5,4,2,2,3,3,3,3,3,3,4,4,5,5,5,5,198,4,3,4,5,4,2,2,3,3,3,3,3,3,4,4,5,5,5,5
"129","4376","Male",5,5,5,5,5,3,3,3,3,3,5,3,5,5,5,5,5,5,5,212,5,5,5,5,5,3,3,3,3,3,5,3,5,5,5,5,5,5,5
"130","4404","Female",4,3,2,5,5,4,2,2,2,4,5,3,5,2,3,4,5,5,5,200,4,3,2,5,5,4,2,2,2,4,5,3,5,2,3,4,5,5,5
"131","4410","Female",4,3,4,5,5,2,2,2,2,3,3,2,4,2,4,4,3,4,4,193,4,3,4,5,5,2,2,2,2,3,3,2,4,2,4,4,3,4,4
"132","4411","Female",3,3,3,5,4,1,1,1,1,1,1,1,3,1,3,1,3,3,3,174,3,3,3,5,4,1,1,1,1,1,1,1,3,1,3,1,3,3,3
"133","4406","Male",4,5,5,4,5,4,5,4,4,3,4,2,NA,4,4,4,3,5,5,207,4,5,5,4,5,4,5,4,4,3,4,2,3,4,4,4,3,5,5
"134","4400","Female",4,4,4,5,3,3,1,1,1,1,2,5,4,4,3,3,4,4,5,195,4,4,4,5,3,3,1,1,1,1,2,5,4,4,3,3,4,4,5
"135","4396","Female",4,5,5,5,5,2,2,1,1,1,2,3,3,2,4,4,5,4,5,198,4,5,5,5,5,2,2,1,1,1,2,3,3,2,4,4,5,4,5
"136","4407","Male",5,5,4,5,5,2,2,1,2,1,3,3,5,5,5,4,4,5,5,207,5,5,4,5,5,2,2,1,2,1,3,3,5,5,5,4,4,5,5
"137","4399","Male",3,4,4,5,5,4,4,2,2,3,2,2,4,4,4,3,5,5,4,206,3,4,4,5,5,4,4,2,2,3,2,2,4,4,4,3,5,5,4
"138","4413","Female",2,3,4,4,5,1,1,1,1,2,3,1,5,2,4,4,5,4,4,194,2,3,4,4,5,1,1,1,1,2,3,1,5,2,4,4,5,4,4
"139","4401","Male",4,5,4,5,5,2,3,2,1,4,5,4,5,1,4,4,5,5,5,212,4,5,4,5,5,2,3,2,1,4,5,4,5,1,4,4,5,5,5
"140","4397","Female",5,5,5,5,4,2,1,1,1,1,2,2,5,2,4,3,5,5,4,202,5,5,5,5,4,2,1,1,1,1,2,2,5,2,4,3,5,5,4
"141","4416","Female",5,5,5,5,5,2,1,1,1,1,2,1,3,2,4,4,5,4,4,201,5,5,5,5,5,2,1,1,1,1,2,1,3,2,4,4,5,4,4
"142","4429","Female",4,5,4,5,5,3,3,2,1,2,3,2,1,1,4,4,5,4,4,204,4,5,4,5,5,3,3,2,1,2,3,2,1,1,4,4,5,4,4
"143","4442","Female",5,5,5,5,5,3,3,3,1,1,5,1,5,1,5,3,5,5,5,214,5,5,5,5,5,3,3,3,1,1,5,1,5,1,5,3,5,5,5
"144","4428","Male",3,4,4,5,4,4,4,4,4,4,5,4,5,4,4,3,3,3,3,218,3,4,4,5,4,4,4,4,4,4,5,4,5,4,4,3,3,3,3
"145","4424","Male",5,4,5,5,5,3,4,3,2,3,4,1,3,2,3,5,5,5,5,217,5,4,5,5,5,3,4,3,2,3,4,1,3,2,3,5,5,5,5
